path,rel_path,label,label_name,pair,generator_id,benchmark,missing,content_path,target,y_true,raw_score_real_direction,fake_score,pred_best_threshold
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\-4-C3-Af7V8-Scene-001.mp4,Pair1\vript\vript\-4-C3-Af7V8-Scene-001.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_-4-C3-Af7V8-Scene-001.mp4,0,0,2.5374856,-2.5374856,1
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\10945___EP24CfRpQyU.11_3.mp4,Pair2\hd_vg_130m\hd_vg_130m\10945___EP24CfRpQyU.11_3.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_10945__EP24CfRpQyU.11_3.mp4,0,0,5.7130656,-5.7130656,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\01373___14ZZb-QvH5c.1_2.mp4,Pair2\hd_vg_130m\hd_vg_130m\01373___14ZZb-QvH5c.1_2.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_01373__14ZZb-QvH5c.1_2.mp4,0,0,6.2295814,-6.2295814,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\3C-vozLC-IM-Scene-038.mp4,Pair1\vript\vript\3C-vozLC-IM-Scene-038.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_3C-vozLC-IM-Scene-038.mp4,0,0,4.616112,-4.616112,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\-L_VVyillvU-Scene-033.mp4,Pair1\vript\vript\-L_VVyillvU-Scene-033.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_-L_VVyillvU-Scene-033.mp4,0,0,4.011557,-4.011557,1
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\02086___2u4ZjOVLTqk.3_1.mp4,Pair2\hd_vg_130m\hd_vg_130m\02086___2u4ZjOVLTqk.3_1.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_02086__2u4ZjOVLTqk.3_1.mp4,0,0,11.044762,-11.044762,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\-gdaWqydHzk-Scene-050.mp4,Pair1\vript\vript\-gdaWqydHzk-Scene-050.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_-gdaWqydHzk-Scene-050.mp4,0,0,3.6305156,-3.6305156,1
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\10833___Gsuz6Vs9azY.2_1.mp4,Pair2\hd_vg_130m\hd_vg_130m\10833___Gsuz6Vs9azY.2_1.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_10833__Gsuz6Vs9azY.2_1.mp4,0,0,2.0826712,-2.0826712,1
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\01407___-NIP2zgVsRY.0_3.mp4,Pair2\hd_vg_130m\hd_vg_130m\01407___-NIP2zgVsRY.0_3.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_01407__-NIP2zgVsRY.0_3.mp4,0,0,8.651015,-8.651015,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\12847___DY-FIDOx3Ks.0_2.mp4,Pair2\hd_vg_130m\hd_vg_130m\12847___DY-FIDOx3Ks.0_2.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_12847__DY-FIDOx3Ks.0_2.mp4,0,0,8.579889,-8.579889,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\3UHTQdotAzk-Scene-057.mp4,Pair1\vript\vript\3UHTQdotAzk-Scene-057.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_3UHTQdotAzk-Scene-057.mp4,0,0,3.3859255,-3.3859255,1
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\04154___44H2_zaW0sM.4_2.mp4,Pair2\hd_vg_130m\hd_vg_130m\04154___44H2_zaW0sM.4_2.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_04154__44H2_zaW0sM.4_2.mp4,0,0,9.147632,-9.147632,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\-qGozrMz4DM-Scene-073.mp4,Pair1\vript\vript\-qGozrMz4DM-Scene-073.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_-qGozrMz4DM-Scene-073.mp4,0,0,5.3047776,-5.3047776,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\-CLU35KDfkI-Scene-014.mp4,Pair1\vript\vript\-CLU35KDfkI-Scene-014.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_-CLU35KDfkI-Scene-014.mp4,0,0,2.7245414,-2.7245414,1
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\07440___6z-J6edJvcA.3_0.mp4,Pair2\hd_vg_130m\hd_vg_130m\07440___6z-J6edJvcA.3_0.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_07440__6z-J6edJvcA.3_0.mp4,0,0,4.650657,-4.650657,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\06836___B5OaRWCofOE.0_3.mp4,Pair2\hd_vg_130m\hd_vg_130m\06836___B5OaRWCofOE.0_3.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_06836__B5OaRWCofOE.0_3.mp4,0,0,5.771711,-5.771711,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\-Tznlx878UU-Scene-493.mp4,Pair1\vript\vript\-Tznlx878UU-Scene-493.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_-Tznlx878UU-Scene-493.mp4,0,0,9.170102,-9.170102,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\08321___9J7L4KG7JmI.2_0.mp4,Pair2\hd_vg_130m\hd_vg_130m\08321___9J7L4KG7JmI.2_0.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_08321__9J7L4KG7JmI.2_0.mp4,0,0,5.8424816,-5.8424816,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\-j8An5lGDt0-Scene-077.mp4,Pair1\vript\vript\-j8An5lGDt0-Scene-077.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_-j8An5lGDt0-Scene-077.mp4,0,0,5.891257,-5.891257,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\-7BKjOyJrk8-Scene-059.mp4,Pair1\vript\vript\-7BKjOyJrk8-Scene-059.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_-7BKjOyJrk8-Scene-059.mp4,0,0,4.7826777,-4.7826777,0
